,id,object_name,address,chain,object_type,number,street
2913,14699,TACOS TUMBRAS,317 S BROADWAY STE #14,True,Fast Food,27,S BROADWAY 
2914,14700,MISO CATERING,100 W 17TH ST # 25,False,Restaurant,18,W 17TH ST
2915,14701,RHEMA FAMILY RESTAURANT FUSION CUISNE,607 S UNION AVE,True,Restaurant,2,S UNION AVE
2916,14702,NORDSTROM,189 THE GROVE DR BLDG #100,True,Restaurant,38,THE GROVE DR BLDG
2917,14703,THE HOLLOWAY,1320 ECHO PARK AVE,False,Restaurant,128,ECHO PARK AVE
2918,14704,BROTHER'S SANDWICH SHOP,3274 W 6TH ST,False,Restaurant,16,W 6TH ST
2919,14705,THE OVERFLOW,210 W 5TH ST,False,Restaurant,17,W 5TH ST
2920,14706,LA PUPUSA LOCA,5716 SANTA MONICA BLVD,False,Restaurant,40,SANTA MONICA BLVD
2921,14707,VIET,3133 GLENDALE BLVD,False,Restaurant,34,GLENDALE BLVD
2922,14708,KOKIO RESTAURANT,3977 W 6TH ST,True,Restaurant,49,W 6TH ST
2923,14709,800 DEGREES PIZZERIA,380 WORLD WAY T31,False,Restaurant,48,WORLD WAY T31
2924,14710,SHAKEY'S PIZZA PARLOR #17,5170 W SUNSET BLVD,False,Pizza,209,W SUNSET BLVD
2925,14711,ERB,1936 E 7TH ST,False,Restaurant,126,E 7TH ST
2926,14712,SMALL BATCH ICE CREAM,12222 VENICE BLVD,False,Restaurant,26,VENICE BLVD
2927,14713,BURGER KING #903,5656 W MANCHESTER AVE,True,Fast Food,47,W MANCHESTER AVE
2928,14714,TIP'S HOUSE,3970 W 6TH ST,False,Restaurant,45,W 6TH ST
2929,14715,SNOW MONSTER,3465 W 6TH ST UNIT 120,False,Restaurant,26,W 6TH ST 
2930,14716,UMAMI BURGER,380 WORLD WAY T30,True,Fast Food,32,WORLD WAY T30
2931,14717,ANTIQUE CAFE,3465 W 6TH ST # 160,False,Restaurant,36,W 6TH ST
2932,14718,CARNITAS MICHOACAN #4,1605 S HOOVER ST STE 105,True,Restaurant,38,S HOOVER ST 
2933,14719,VERMONT SOON DAE,923 S VERMONT AVE,False,Restaurant,40,S VERMONT AVE
2934,14720,BRIDGE TAVERN,1356 PALMETTO ST,False,Restaurant,82,PALMETTO ST
2935,14721,HONGKONG EXPRESS,1605 S HOOVER ST #109,False,Fast Food,12,S HOOVER ST
2936,14722,YANG GANE,1676 W 11TH ST,False,Restaurant,16,W 11TH ST
2937,14723,OZZIE'S DINER,7780 E SLAUSON AVE,False,Restaurant,164,E SLAUSON AVE
2938,14724,ONDAL JIP RESTAURANT,3160 W 8TH ST # #101,True,Restaurant,45,W 8TH ST
2939,14725,GM FOOD CONCESSIONS,3900 CRYSTAL SPRINGS DR,True,Restaurant,3,CRYSTAL SPRINGS DR
2940,14726,YUM YUM DONUTS #9147D,5836 W MANCHESTER AVE,True,Fast Food,25,W MANCHESTER AVE
2941,14727,BIONICOS-RASPADOS EL MACHIN,4514 E WHITTIER BLVD,False,Restaurant,25,E WHITTIER BLVD
2942,14728,DUNE LOS ANGELES,3143 GLENDALE BLVD,False,Restaurant,4,GLENDALE BLVD
2943,14729,KENTUCKY FRIED CHICKEN,10501 W PICO BLVD,True,Fast Food,37,W PICO BLVD
2944,14730,HACHE  LA,3319 W SUNSET BLVD,False,Restaurant,47,W SUNSET BLVD
2945,14731,DETENTION CAFE,7801 MELROSE AVE STE #1A,False,Restaurant,24,MELROSE AVE 
2946,14732,PAROS PIZZA,1117 N HOBART BLVD,False,Pizza,11,N HOBART BLVD
2947,14733,BON VIVANT MARKET & CAFE,3155 GLENDALE BLVD,False,Restaurant,48,GLENDALE BLVD
2948,14734,DEL CID M. M. & R.,6500 S BROADWAY,False,Restaurant,15,S BROADWAY
2949,14735,BLVD. CAFE,4555 E WHITTIER BLVD,False,Restaurant,40,E WHITTIER BLVD
2950,14736,SUNSET GRILL,7439 W SUNSET BLVD,False,Restaurant,41,W SUNSET BLVD
2951,14737,MCDONALD'S,3501 S LA CIENEGA BLVD,True,Fast Food,140,S LA CIENEGA BLVD
2952,14738,PANDA EXPRESS,380 WORLD WAY,True,Fast Food,49,WORLD WAY
2953,14739,EL TAURINO,1104 S HOOVER ST,False,Restaurant,106,S HOOVER ST
2954,14740,MILENA BAKERY,5216 W SUNSET BLVD,True,Bakery,8,W SUNSET BLVD
2955,14741,EL RINCON USULUTECO,1880 W ADAMS BLVD,False,Restaurant,5,W ADAMS BLVD
2956,14742,GATEGOURMET,6701 W IMPERIAL HWY,False,Restaurant,161,W IMPERIAL HWY
2957,14743,BASKIN ROBBINS,5039 WHITTIER BLVD,True,Restaurant,1,WHITTIER BLVD
2958,14744,PLAZA SALOON,739 N LA BREA AVE,False,Restaurant,33,N LA BREA AVE
